event_id,date,gov_deaths,rebel_deaths,civilian_deaths,deaths,where_coordinates,geometry
414028,2021-08-01T00:00:00Z,3,1,0,4,Sanabih village,"c(45.171944, 13.911667)"
410653,2021-08-02T00:00:00Z,0,0,1,1,Hays town,"c(43.483099, 13.931702)"
410968,2021-08-02T00:00:00Z,0,0,1,1,Al Khadra village,"c(42.95564, 16.35884)"
412826,2021-08-03T00:00:00Z,0,0,1,1,Ar Raqw village,"c(43.202825, 17.255265)"
414017,2021-08-03T00:00:00Z,24,24,0,48,Bidah village,"c(45.132021, 14.915032)"
412827,2021-08-04T00:00:00Z,0,0,1,1,Yatmah town,"c(45.053996, 16.981571)"
414023,2021-08-06T00:00:00Z,13,0,0,13,Bidah village,"c(45.132021, 14.915032)"
414024,2021-08-06T00:00:00Z,21,0,0,21,Rahabah Al Kawlah town,"c(44.988896, 14.895677)"
412843,2021-08-07T00:00:00Z,0,0,1,1,Ar Raqw village,"c(43.202825, 17.255265)"
412847,2021-08-09T00:00:00Z,0,0,1,1,Ar Raqw village,"c(43.202825, 17.255265)"
414039,2021-08-10T00:00:00Z,2,0,0,2,Kassara checkpoint,"c(45.126389, 15.544167)"
412855,2021-08-11T00:00:00Z,0,0,1,1,Jubayyah Quḩayfah village,"c(43.7688, 13.44833)"
412875,2021-08-12T00:00:00Z,0,0,1,1,Aḑ Ḑabāb village,"c(43.949479, 13.527991)"
414043,2021-08-12T00:00:00Z,14,0,0,14,Malboudah hills,"c(45.136144, 15.563035)"
414044,2021-08-12T00:00:00Z,7,0,0,7,Baqtah al ‘Ulyā village,"c(45.132444, 14.965528)"
412863,2021-08-13T00:00:00Z,0,0,1,1,Border between Shadā’ district and Saudi Arabia,"c(43.1473, 16.9254)"
412952,2021-08-13T00:00:00Z,13,0,0,13,Mashjah area,"c(45.08406, 15.465293)"
414049,2021-08-14T00:00:00Z,2,0,0,2,Kassara checkpoint,"c(45.126389, 15.544167)"
412885,2021-08-15T00:00:00Z,7,3,0,10,At Tuḩaytā’ town,"c(43.226369, 14.18356)"
412878,2021-08-16T00:00:00Z,0,0,2,2,Ar Raqw village,"c(43.202825, 17.255265)"
412880,2021-08-17T00:00:00Z,0,0,1,1,Al Jāḩ village,"c(43.052881, 14.340932)"
412881,2021-08-17T00:00:00Z,0,0,1,1,Ar Raqw village,"c(43.202825, 17.255265)"
412828,2021-08-17T00:00:00Z,15,0,0,15,Mashjah area,"c(45.08406, 15.465293)"
412887,2021-08-18T00:00:00Z,0,0,0,2,Al Buqa village,"c(43.151256, 13.984113)"
412890,2021-08-20T00:00:00Z,0,0,1,1,Ar Raqw village,"c(43.202825, 17.255265)"
414063,2021-08-20T00:00:00Z,10,0,0,10,Kassara checkpoint,"c(45.126389, 15.544167)"
414059,2021-08-20T00:00:00Z,5,0,0,5,Ta'izz town,"c(44.020908, 13.579522)"
414069,2021-08-21T00:00:00Z,31,4,0,35,Jabal al-Balaq al Qibli mountain,"c(45.2225, 15.414722)"
414066,2021-08-21T00:00:00Z,24,0,0,24,Mashjah area,"c(45.08406, 15.465293)"
414067,2021-08-22T00:00:00Z,7,0,0,7,Mashjah area,"c(45.08406, 15.465293)"
412891,2021-08-22T00:00:00Z,0,0,1,1,Ar Raqw village,"c(43.202825, 17.255265)"
412892,2021-08-23T00:00:00Z,0,0,1,1,Ar Raqw village,"c(43.202825, 17.255265)"
412896,2021-08-25T00:00:00Z,0,0,2,2,Ar Raqw village,"c(43.202825, 17.255265)"
412897,2021-08-25T00:00:00Z,0,0,2,2,Aḑ Ḑabāb village,"c(43.949479, 13.527991)"
416945,2021-08-26T00:00:00Z,0,0,1,1,Ar Raqw village,"c(43.202825, 17.255265)"
414172,2021-08-27T00:00:00Z,20,0,0,20,Ash Shahlā’ mountain,"c(45.58164, 16.33025)"
416946,2021-08-28T00:00:00Z,0,0,2,2,Ar Raqw village,"c(43.202825, 17.255265)"
416947,2021-08-29T00:00:00Z,0,0,1,1,Juruf village,"c(44.692778, 13.9675)"
414174,2021-08-29T00:00:00Z,12,0,0,12,Jabal aş Şadārah mountain,"c(45.03368, 14.98306)"
414177,2021-08-29T00:00:00Z,26,11,0,37,Kassara checkpoint,"c(45.126389, 15.544167)"
412901,2021-08-29T00:00:00Z,0,40,0,40,Al-Anad military base,"c(44.769167, 13.244444)"
412939,2021-08-30T00:00:00Z,27,0,0,27,Humat al Dhiyab hills,"c(45.20875, 15.546917)"
416948,2021-08-30T00:00:00Z,0,0,3,3,Ahrab Yinabba desert,"c(44.897583, 16.113972)"
416949,2021-08-31T00:00:00Z,0,0,1,1,Border between Shadā’ district and Saudi Arabia,"c(43.1473, 16.9254)"
414192,2021-08-31T00:00:00Z,2,0,0,2,Şan‘ā’ city,"c(44.206667, 15.354722)"
414198,2021-08-31T00:00:00Z,21,11,0,32,Mushrifah village,"c(45.07579, 14.82741)"
414200,2021-08-31T00:00:00Z,22,11,0,33,Baqtah al ‘Ulyā village,"c(45.132444, 14.965528)"
414210,2021-09-01T00:00:00Z,15,0,0,15,Rahabah Al Kawlah town,"c(44.988896, 14.895677)"
413183,2021-09-01T00:00:00Z,18,0,0,18,Mashjah area,"c(45.08406, 15.465293)"
413184,2021-09-01T00:00:00Z,3,2,0,5,Mushrifah village,"c(45.07579, 14.82741)"
415789,2021-09-02T00:00:00Z,0,0,2,2,Rahabah Al Kawlah town,"c(44.988896, 14.895677)"
414215,2021-09-03T00:00:00Z,17,0,0,17,Kassara checkpoint,"c(45.126389, 15.544167)"
416951,2021-09-05T00:00:00Z,0,0,1,1,Shurayjah village,"c(44.430518, 13.367938)"
416953,2021-09-06T00:00:00Z,0,0,1,1,Jarah village,"c(43.25628, 17.26152)"
415793,2021-09-06T00:00:00Z,33,0,0,33,Rahabah Al Kawlah town,"c(44.988896, 14.895677)"
416955,2021-09-07T00:00:00Z,0,0,1,1,Al Umm Shaykh area,"c(43.21884, 17.10076)"
417000,2021-09-08T00:00:00Z,0,0,1,1,Ar Raqw village,"c(43.202825, 17.255265)"
417003,2021-09-08T00:00:00Z,0,0,1,1,Aqrūḑ subdistrict,"c(44.05123, 13.43504)"
415792,2021-09-09T00:00:00Z,25,0,0,25,Rahabah Al Kawlah town,"c(44.988896, 14.895677)"
417014,2021-09-09T00:00:00Z,0,0,1,1,Barran village,"c(44.57083, 15.74167)"
417015,2021-09-10T00:00:00Z,0,0,1,1,Bir Al Maraziq village,"c(45.295278, 16.218889)"
417016,2021-09-11T00:00:00Z,0,0,1,1,Al Umm Shaykh area,"c(43.21884, 17.10076)"
415798,2021-09-12T00:00:00Z,6,0,0,6,Al Jabalīyah village,"c(43.158889, 14.0725)"
415822,2021-09-15T00:00:00Z,0,1,0,1,Hazimiyah area,"c(45.731, 14.02)"
417028,2021-09-15T00:00:00Z,0,0,1,1,Ar Raqw village,"c(43.202825, 17.255265)"
417059,2021-09-16T00:00:00Z,0,0,1,1,Ad Durayhimī town,"c(43.055048, 14.637019)"
417057,2021-09-16T00:00:00Z,0,0,1,1,Ar Raqw village,"c(43.202825, 17.255265)"
415823,2021-09-16T00:00:00Z,24,0,0,24,Mashjah area,"c(45.08406, 15.465293)"
415831,2021-09-18T00:00:00Z,0,0,7,7,Aqabat al Qanadha area,"c(45.59408, 14.681185)"
